#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
297181:5848,1:1,06/20/17 08:44:01,STABLE BEAMS,6500,4439.616,3792.761,18.3,HFET
297181:5848,2:2,06/20/17 08:44:24,STABLE BEAMS,6500,4438.794,4222.381,18.3,HFET
297181:5848,3:3,06/20/17 08:44:48,STABLE BEAMS,6500,4436.689,4241.641,18.3,HFET
297181:5848,4:4,06/20/17 08:45:11,STABLE BEAMS,6500,4434.532,4326.201,18.3,HFET
297181:5848,5:5,06/20/17 08:45:34,STABLE BEAMS,6500,4433.050,4291.046,18.2,HFET
297181:5848,6:6,06/20/17 08:45:58,STABLE BEAMS,6500,4431.191,4299.989,18.2,HFET
297181:5848,7:7,06/20/17 08:46:21,STABLE BEAMS,6500,4429.619,4351.020,18.2,HFET
297181:5848,8:8,06/20/17 08:46:44,STABLE BEAMS,6500,4428.015,4360.778,18.2,HFET
297181:5848,9:9,06/20/17 08:47:08,STABLE BEAMS,6500,4426.771,4364.580,18.2,HFET
297181:5848,10:10,06/20/17 08:47:31,STABLE BEAMS,6500,4425.181,4356.654,18.2,HFET
297181:5848,11:11,06/20/17 08:47:54,STABLE BEAMS,6500,4423.609,4359.589,18.2,HFET
297181:5848,12:12,06/20/17 08:48:18,STABLE BEAMS,6500,4421.450,4353.186,18.2,HFET
297181:5848,13:13,06/20/17 08:48:41,STABLE BEAMS,6500,4419.584,4362.677,18.2,HFET
297181:5848,14:14,06/20/17 08:49:04,STABLE BEAMS,6500,4418.026,4355.973,18.2,HFET
297181:5848,15:15,06/20/17 08:49:28,STABLE BEAMS,6500,4416.610,4355.700,18.2,HFET
297181:5848,16:16,06/20/17 08:49:51,STABLE BEAMS,6500,4415.284,4359.502,18.2,HFET
297181:5848,17:17,06/20/17 08:50:14,STABLE BEAMS,6500,4413.128,4350.260,18.2,HFET
297181:5848,18:18,06/20/17 08:50:37,STABLE BEAMS,6500,4411.942,4346.085,18.2,HFET
297181:5848,19:19,06/20/17 08:51:01,STABLE BEAMS,6500,4410.024,4338.921,18.2,HFET
