#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
297180:5848,1:1,06/20/17 07:49:55,STABLE BEAMS,6500,4671.710,3956.944,19.2,HFET
297180:5848,2:2,06/20/17 07:50:18,STABLE BEAMS,6500,4670.047,4424.999,19.2,HFET
297180:5848,3:3,06/20/17 07:50:41,STABLE BEAMS,6500,4667.077,4548.909,19.2,HFET
297180:5848,4:4,06/20/17 07:51:05,STABLE BEAMS,6500,4666.258,4556.677,19.2,HFET
297180:5848,5:5,06/20/17 07:51:28,STABLE BEAMS,6500,4661.387,4389.253,19.2,HFET
297180:5848,6:6,06/20/17 07:51:51,STABLE BEAMS,6500,4660.741,4517.102,19.2,HFET
297180:5848,7:7,06/20/17 07:52:15,STABLE BEAMS,6500,4660.275,4586.751,19.2,HFET
297180:5848,8:8,06/20/17 07:52:38,STABLE BEAMS,6500,4660.318,4589.944,19.2,HFET
297180:5848,9:9,06/20/17 07:53:01,STABLE BEAMS,6500,4656.171,4578.289,19.2,HFET
297180:5848,10:10,06/20/17 07:53:25,STABLE BEAMS,6500,4653.377,4565.963,19.2,HFET
297180:5848,11:11,06/20/17 07:53:48,STABLE BEAMS,6500,4651.376,4579.062,19.1,HFET
297180:5848,12:12,06/20/17 07:54:11,STABLE BEAMS,6500,4649.347,4578.125,19.1,HFET
297180:5848,13:13,06/20/17 07:54:34,STABLE BEAMS,6500,4646.321,4567.593,19.1,HFET
297180:5848,14:14,06/20/17 07:54:58,STABLE BEAMS,6500,4644.517,4567.891,19.1,HFET
297180:5848,15:15,06/20/17 07:55:21,STABLE BEAMS,6500,4642.620,4578.038,19.1,HFET
297180:5848,16:16,06/20/17 07:55:44,STABLE BEAMS,6500,4644.930,4580.242,19.1,HFET
297180:5848,17:17,06/20/17 07:56:08,STABLE BEAMS,6500,4642.537,4581.127,19.1,HFET
297180:5848,18:18,06/20/17 07:56:31,STABLE BEAMS,6500,4639.589,4572.727,19.1,HFET
297180:5848,19:19,06/20/17 07:56:54,STABLE BEAMS,6500,4638.860,4566.638,19.1,HFET
297180:5848,20:20,06/20/17 07:57:18,STABLE BEAMS,6500,4635.299,4572.935,19.1,HFET
297180:5848,21:21,06/20/17 07:57:41,STABLE BEAMS,6500,4634.307,4569.769,19.1,HFET
297180:5848,22:22,06/20/17 07:58:04,STABLE BEAMS,6500,4634.385,4570.858,19.1,HFET
297180:5848,23:23,06/20/17 07:58:28,STABLE BEAMS,6500,4633.272,4561.388,19.1,HFET
297180:5848,24:24,06/20/17 07:58:51,STABLE BEAMS,6500,4632.818,4574.782,19.1,HFET
297180:5848,25:25,06/20/17 07:59:14,STABLE BEAMS,6500,4633.057,4502.730,19.1,HFET
297180:5848,26:26,06/20/17 07:59:38,STABLE BEAMS,6500,4628.255,4569.158,19.1,HFET
297180:5848,27:27,06/20/17 08:00:01,STABLE BEAMS,6500,4625.755,4563.291,19.0,HFET
297180:5848,28:28,06/20/17 08:00:24,STABLE BEAMS,6500,4622.886,4560.617,19.0,HFET
297180:5848,29:29,06/20/17 08:00:47,STABLE BEAMS,6500,4622.595,4559.125,19.0,HFET
297180:5848,30:30,06/20/17 08:01:11,STABLE BEAMS,6500,4622.506,4556.078,19.0,HFET
297180:5848,31:31,06/20/17 08:01:34,STABLE BEAMS,6500,4619.014,4563.341,19.0,HFET
297180:5848,32:32,06/20/17 08:01:57,STABLE BEAMS,6500,4618.068,4554.968,19.0,HFET
297180:5848,33:33,06/20/17 08:02:21,STABLE BEAMS,6500,4615.959,4563.557,19.0,HFET
297180:5848,34:34,06/20/17 08:02:44,STABLE BEAMS,6500,4608.690,4545.904,19.0,HFET
297180:5848,35:35,06/20/17 08:03:07,STABLE BEAMS,6500,4614.508,4553.715,19.0,HFET
297180:5848,36:36,06/20/17 08:03:31,STABLE BEAMS,6500,4614.964,4546.704,19.0,HFET
297180:5848,37:37,06/20/17 08:03:54,STABLE BEAMS,6500,4609.323,4543.273,19.0,HFET
297180:5848,38:38,06/20/17 08:04:17,STABLE BEAMS,6500,4606.540,4491.657,19.0,HFET
297180:5848,39:39,06/20/17 08:04:41,STABLE BEAMS,6500,4605.389,4555.301,19.0,HFET
297180:5848,40:40,06/20/17 08:05:04,STABLE BEAMS,6500,4603.201,4544.642,18.9,HFET
