#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
319579:6919,1:1,07/13/18 04:27:45,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,2:2,07/13/18 04:28:08,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,3:3,07/13/18 04:28:31,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,4:4,07/13/18 04:28:55,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,5:5,07/13/18 04:29:18,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,6:6,07/13/18 04:29:41,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,7:7,07/13/18 04:30:04,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,8:8,07/13/18 04:30:28,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,9:9,07/13/18 04:30:51,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,10:10,07/13/18 04:31:14,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,11:11,07/13/18 04:31:38,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,12:12,07/13/18 04:32:01,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,13:13,07/13/18 04:32:24,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,14:14,07/13/18 04:32:48,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,15:15,07/13/18 04:33:11,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,16:16,07/13/18 04:33:34,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,17:17,07/13/18 04:33:58,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,18:18,07/13/18 04:34:21,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,19:19,07/13/18 04:34:44,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,20:20,07/13/18 04:35:07,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,21:21,07/13/18 04:35:31,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,22:22,07/13/18 04:35:54,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,23:23,07/13/18 04:36:17,SQUEEZE,6500,0.000,0.000,0.0,HFET
319579:6919,24:24,07/13/18 04:36:41,ADJUST,6500,0.000,0.000,0.0,HFET
319579:6919,25:25,07/13/18 04:37:04,ADJUST,6500,0.000,0.000,0.0,HFET
319579:6919,26:26,07/13/18 04:37:27,ADJUST,6500,0.000,0.000,0.0,HFET
319579:6919,27:27,07/13/18 04:37:51,ADJUST,6500,0.000,0.000,0.0,HFET
319579:6919,28:28,07/13/18 04:38:14,ADJUST,6500,0.000,0.000,0.0,HFET
319579:6919,29:29,07/13/18 04:38:37,ADJUST,6500,0.000,0.000,0.0,HFET
