#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
302634:6191,25:25,09/12/17 01:17:16,ADJUST,6500,9480.706,9306.932,35.3,HFET
302634:6191,26:26,09/12/17 01:17:39,ADJUST,6500,10072.559,9881.588,37.5,HFET
302634:6191,27:27,09/12/17 01:18:02,ADJUST,6500,9836.221,9650.327,36.7,HFET
302634:6191,28:28,09/12/17 01:18:26,ADJUST,6500,9602.771,9407.824,35.8,HFET
302634:6191,29:29,09/12/17 01:18:49,ADJUST,6500,8940.542,8772.923,33.3,HFET
302634:6191,30:30,09/12/17 01:19:12,ADJUST,6500,9278.877,9104.633,34.6,HFET
302634:6191,31:31,09/12/17 01:19:36,ADJUST,6500,9951.315,9483.442,37.1,HFET
302634:6191,32:32,09/12/17 01:19:59,ADJUST,6500,10240.488,10046.276,38.2,HFET
302634:6191,33:33,09/12/17 01:20:22,ADJUST,6500,10732.826,10528.334,40.0,HFET
302634:6191,34:34,09/12/17 01:20:46,ADJUST,6500,10726.366,10521.936,40.0,HFET
302634:6191,35:35,09/12/17 01:21:09,STABLE BEAMS,6500,10716.177,10511.833,39.9,HFET
302634:6191,36:36,09/12/17 01:21:32,STABLE BEAMS,6500,10712.828,10508.519,39.9,HFET
302634:6191,37:37,09/12/17 01:21:56,STABLE BEAMS,6500,10709.729,513.361,39.9,HFET
302634:6191,38:38,09/12/17 01:22:19,STABLE BEAMS,6500,10697.741,0.000,39.9,HFET
302634:6191,39:39,09/12/17 01:22:42,STABLE BEAMS,6500,10691.934,0.000,39.8,HFET
302634:6191,40:40,09/12/17 01:23:05,STABLE BEAMS,6500,10679.952,2153.257,39.8,HFET
302634:6191,41:41,09/12/17 01:23:29,STABLE BEAMS,6500,1399.255,1370.906,5.2,HFET
302634:6191,42:42,09/12/17 01:23:52,STABLE BEAMS,6500,4956.454,4845.724,18.5,HFET
302634:6191,43:43,09/12/17 01:24:15,STABLE BEAMS,6500,9821.844,9250.394,36.6,HFET
302634:6191,44:44,09/12/17 01:24:39,STABLE BEAMS,6500,6677.063,6510.120,24.9,HFET
302634:6191,45:45,09/12/17 01:25:02,STABLE BEAMS,6500,1275.240,1250.407,4.8,HFET
302634:6191,46:46,09/12/17 01:25:25,STABLE BEAMS,6500,5683.895,5538.688,21.2,HFET
302634:6191,47:47,09/12/17 01:25:49,STABLE BEAMS,6500,1554.740,1524.253,5.8,HFET
302634:6191,48:48,09/12/17 01:26:12,STABLE BEAMS,6500,7344.288,7158.013,27.4,HFET
302634:6191,49:49,09/12/17 01:26:35,STABLE BEAMS,6500,9514.428,9230.151,35.5,HFET
302634:6191,50:50,09/12/17 01:26:59,STABLE BEAMS,6500,4113.390,4022.524,15.3,HFET
302634:6191,51:51,09/12/17 01:27:22,STABLE BEAMS,6500,4041.701,3946.236,15.1,HFET
302634:6191,52:52,09/12/17 01:27:45,STABLE BEAMS,6500,10604.360,10102.089,39.5,HFET
302634:6191,53:53,09/12/17 01:28:09,STABLE BEAMS,6500,10598.838,10246.990,39.5,HFET
302634:6191,54:54,09/12/17 01:28:32,STABLE BEAMS,6500,10587.960,10091.422,39.5,HFET
302634:6191,55:55,09/12/17 01:28:55,STABLE BEAMS,6500,10577.990,10229.315,39.4,HFET
302634:6191,56:56,09/12/17 01:29:19,STABLE BEAMS,6500,10564.768,10217.978,39.4,HFET
302634:6191,57:57,09/12/17 01:29:42,STABLE BEAMS,6500,10558.447,10197.296,39.3,HFET
302634:6191,58:58,09/12/17 01:30:05,STABLE BEAMS,6500,10549.030,10058.872,39.3,HFET
302634:6191,59:59,09/12/17 01:30:28,STABLE BEAMS,6500,10536.411,10192.082,39.3,HFET
302634:6191,60:60,09/12/17 01:30:52,STABLE BEAMS,6500,10525.820,10184.817,39.2,HFET
302634:6191,61:61,09/12/17 01:31:15,STABLE BEAMS,6500,10519.370,10167.891,39.2,HFET
302634:6191,62:62,09/12/17 01:31:38,STABLE BEAMS,6500,10514.299,10031.609,39.2,HFET
302634:6191,63:63,09/12/17 01:32:02,STABLE BEAMS,6500,10508.385,10172.313,39.2,HFET
302634:6191,64:64,09/12/17 01:32:25,STABLE BEAMS,6500,10496.459,10157.511,39.1,HFET
302634:6191,65:65,09/12/17 01:32:48,STABLE BEAMS,6500,10482.159,10146.271,39.1,HFET
302634:6191,66:66,09/12/17 01:33:12,STABLE BEAMS,6500,10475.243,10137.041,39.0,HFET
302634:6191,67:67,09/12/17 01:33:35,STABLE BEAMS,6500,10459.879,10123.574,39.0,HFET
302634:6191,68:68,09/12/17 01:33:58,STABLE BEAMS,6500,10448.598,10113.331,38.9,HFET
302634:6191,69:69,09/12/17 01:34:22,STABLE BEAMS,6500,10441.838,10106.000,38.9,HFET
302634:6191,70:70,09/12/17 01:34:45,STABLE BEAMS,6500,10429.497,10096.720,38.9,HFET
302634:6191,71:71,09/12/17 01:35:08,STABLE BEAMS,6500,10425.289,10092.524,38.8,HFET
302634:6191,72:72,09/12/17 01:35:31,STABLE BEAMS,6500,10414.546,10081.542,38.8,HFET
302634:6191,73:73,09/12/17 01:35:55,STABLE BEAMS,6500,10404.700,9929.149,38.8,HFET
302634:6191,74:74,09/12/17 01:36:18,STABLE BEAMS,6500,10391.854,10062.294,38.7,HFET
302634:6191,75:75,09/12/17 01:36:41,STABLE BEAMS,6500,10385.603,10057.686,38.7,HFET
302634:6191,76:76,09/12/17 01:37:05,STABLE BEAMS,6500,10373.602,10046.361,38.7,HFET
302634:6191,77:77,09/12/17 01:37:28,STABLE BEAMS,6500,10366.843,10038.486,38.6,HFET
302634:6191,78:78,09/12/17 01:37:51,STABLE BEAMS,6500,10363.641,10020.987,38.6,HFET
302634:6191,79:79,09/12/17 01:38:15,STABLE BEAMS,6500,10353.803,9885.200,38.6,HFET
302634:6191,80:80,09/12/17 01:38:38,STABLE BEAMS,6500,10344.836,10018.758,38.5,HFET
302634:6191,81:81,09/12/17 01:39:01,STABLE BEAMS,6500,10335.888,10009.098,38.5,HFET
302634:6191,82:82,09/12/17 01:39:25,STABLE BEAMS,6500,10326.366,9859.007,38.5,HFET
302634:6191,83:83,09/12/17 01:39:48,STABLE BEAMS,6500,10313.953,9846.611,38.4,HFET
302634:6191,84:84,09/12/17 01:40:11,STABLE BEAMS,6500,10255.927,9941.653,38.2,HFET
302634:6191,85:85,09/12/17 01:40:34,STABLE BEAMS,6500,10052.687,9752.548,37.5,HFET
302634:6191,86:86,09/12/17 01:40:58,STABLE BEAMS,6500,9931.502,9637.192,37.0,HFET
302634:6191,87:87,09/12/17 01:41:21,STABLE BEAMS,6500,9303.644,9039.287,34.7,HFET
302634:6191,88:88,09/12/17 01:41:44,STABLE BEAMS,6500,10040.697,9602.102,37.4,HFET
302634:6191,89:89,09/12/17 01:42:08,STABLE BEAMS,6500,10331.195,10016.755,38.5,HFET
302634:6191,90:90,09/12/17 01:42:31,STABLE BEAMS,6500,10360.538,10042.164,38.6,HFET
302634:6191,91:91,09/12/17 01:42:54,STABLE BEAMS,6500,10353.117,10034.960,38.6,HFET
302634:6191,92:92,09/12/17 01:43:18,STABLE BEAMS,6500,10351.049,10033.568,38.6,HFET
302634:6191,93:93,09/12/17 01:43:41,STABLE BEAMS,6500,10343.830,10027.276,38.5,HFET
302634:6191,94:94,09/12/17 01:44:04,STABLE BEAMS,6500,10337.997,10020.292,38.5,HFET
302634:6191,95:95,09/12/17 01:44:28,STABLE BEAMS,6500,10328.660,10011.138,38.5,HFET
302634:6191,96:96,09/12/17 01:44:51,STABLE BEAMS,6500,10322.570,10006.420,38.5,HFET
302634:6191,97:97,09/12/17 01:45:14,STABLE BEAMS,6500,10313.969,9998.280,38.4,HFET
