#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
297179:5848,1:1,06/20/17 07:09:38,STABLE BEAMS,6500,4855.368,4028.844,20.0,HFET
297179:5848,2:2,06/20/17 07:10:01,STABLE BEAMS,6500,4854.007,4625.568,20.0,HFET
297179:5848,3:3,06/20/17 07:10:24,STABLE BEAMS,6500,4852.867,4652.130,20.0,HFET
297179:5848,4:4,06/20/17 07:10:48,STABLE BEAMS,6500,4851.195,4641.963,20.0,HFET
297179:5848,5:5,06/20/17 07:11:11,STABLE BEAMS,6500,4848.969,4767.621,20.0,HFET
297179:5848,6:6,06/20/17 07:11:34,STABLE BEAMS,6500,4847.198,4769.200,20.0,HFET
297179:5848,7:7,06/20/17 07:11:58,STABLE BEAMS,6500,4840.161,3577.662,19.9,HFET
297179:5848,8:8,06/20/17 07:12:21,STABLE BEAMS,6500,4828.371,19.474,19.9,HFET
297179:5848,9:9,06/20/17 07:12:44,STABLE BEAMS,6500,4833.437,1490.476,19.9,HFET
297179:5848,10:10,06/20/17 07:13:07,STABLE BEAMS,6500,4804.398,175.374,19.8,HFET
297179:5848,11:11,06/20/17 07:13:31,STABLE BEAMS,6500,4822.527,890.826,19.9,HFET
297179:5848,12:12,06/20/17 07:13:54,STABLE BEAMS,6500,4834.807,4770.445,19.9,HFET
297179:5848,13:13,06/20/17 07:14:17,STABLE BEAMS,6500,4673.720,4608.397,19.2,HFET
297179:5848,14:14,06/20/17 07:14:41,STABLE BEAMS,6500,4717.973,4658.128,19.4,HFET
297179:5848,15:15,06/20/17 07:15:04,STABLE BEAMS,6500,4694.093,4617.410,19.3,HFET
297179:5848,16:16,06/20/17 07:15:27,STABLE BEAMS,6500,4654.488,4600.264,19.2,HFET
297179:5848,17:17,06/20/17 07:15:51,STABLE BEAMS,6500,4671.198,4606.963,19.2,HFET
297179:5848,18:18,06/20/17 07:16:14,STABLE BEAMS,6500,4825.517,4720.090,19.9,HFET
297179:5848,19:19,06/20/17 07:16:37,STABLE BEAMS,6500,4824.010,4719.752,19.9,HFET
297179:5848,20:20,06/20/17 07:17:01,STABLE BEAMS,6500,4822.567,4762.755,19.9,HFET
297179:5848,21:21,06/20/17 07:17:24,STABLE BEAMS,6500,4820.908,4546.689,19.8,HFET
297179:5848,22:22,06/20/17 07:17:47,STABLE BEAMS,6500,4818.751,4750.286,19.8,HFET
