#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
302635:6191,1:1,09/12/17 05:18:01,STABLE BEAMS,6500,8045.451,7827.850,30.0,HFET
302635:6191,2:2,09/12/17 05:18:25,STABLE BEAMS,6500,8041.830,7724.747,30.0,HFET
302635:6191,3:3,09/12/17 05:18:48,STABLE BEAMS,6500,8038.430,7834.670,30.0,HFET
302635:6191,4:4,09/12/17 05:19:11,STABLE BEAMS,6500,8037.736,7833.883,30.0,HFET
302635:6191,5:5,09/12/17 05:19:34,STABLE BEAMS,6500,8028.741,7698.536,29.9,HFET
302635:6191,6:6,09/12/17 05:19:58,STABLE BEAMS,6500,8028.182,7824.770,29.9,HFET
302635:6191,7:7,09/12/17 05:20:21,STABLE BEAMS,6500,8028.281,7824.281,29.9,HFET
302635:6191,8:8,09/12/17 05:20:44,STABLE BEAMS,6500,8024.468,7809.362,29.9,HFET
302635:6191,9:9,09/12/17 05:21:08,STABLE BEAMS,6500,8019.976,7815.222,29.9,HFET
302635:6191,10:10,09/12/17 05:21:31,STABLE BEAMS,6500,8014.226,7808.962,29.9,HFET
302635:6191,11:11,09/12/17 05:21:54,STABLE BEAMS,6500,8066.860,7860.919,30.1,HFET
302635:6191,12:12,09/12/17 05:22:18,STABLE BEAMS,6500,8209.947,7998.887,30.6,HFET
302635:6191,13:13,09/12/17 05:22:41,STABLE BEAMS,6500,8203.701,7878.317,30.6,HFET
302635:6191,14:14,09/12/17 05:23:04,STABLE BEAMS,6500,8198.107,7988.277,30.5,HFET
302635:6191,15:15,09/12/17 05:23:28,STABLE BEAMS,6500,8184.182,7974.796,30.5,HFET
302635:6191,16:16,09/12/17 05:23:51,STABLE BEAMS,6500,8170.105,7960.035,30.4,HFET
302635:6191,17:17,09/12/17 05:24:14,STABLE BEAMS,6500,8160.608,7951.777,30.4,HFET
302635:6191,18:18,09/12/17 05:24:38,STABLE BEAMS,6500,8071.581,7865.994,30.1,HFET
302635:6191,19:19,09/12/17 05:25:01,STABLE BEAMS,6500,7943.135,7742.276,29.6,HFET
302635:6191,20:20,09/12/17 05:25:24,STABLE BEAMS,6500,7770.319,7574.950,29.0,HFET
302635:6191,21:21,09/12/17 05:25:47,STABLE BEAMS,6500,7573.034,7385.240,28.2,HFET
302635:6191,22:22,09/12/17 05:26:11,STABLE BEAMS,6500,8036.234,7831.629,29.9,HFET
302635:6191,23:23,09/12/17 05:26:34,STABLE BEAMS,6500,8227.210,8003.553,30.7,HFET
302635:6191,24:24,09/12/17 05:26:57,STABLE BEAMS,6500,8251.900,8039.743,30.7,HFET
302635:6191,25:25,09/12/17 05:27:21,STABLE BEAMS,6500,8248.786,8035.088,30.7,HFET
302635:6191,26:26,09/12/17 05:27:44,STABLE BEAMS,6500,8245.298,8032.941,30.7,HFET
302635:6191,27:27,09/12/17 05:28:07,STABLE BEAMS,6500,8244.709,8031.963,30.7,HFET
302635:6191,28:28,09/12/17 05:28:31,STABLE BEAMS,6500,8239.281,8027.634,30.7,HFET
302635:6191,29:29,09/12/17 05:28:54,STABLE BEAMS,6500,8236.503,8024.150,30.7,HFET
302635:6191,30:30,09/12/17 05:29:17,STABLE BEAMS,6500,8232.916,8021.295,30.7,HFET
302635:6191,31:31,09/12/17 05:29:41,STABLE BEAMS,6500,8228.173,8015.301,30.7,HFET
302635:6191,32:32,09/12/17 05:30:04,STABLE BEAMS,6500,8223.107,8011.307,30.6,HFET
302635:6191,33:33,09/12/17 05:30:27,STABLE BEAMS,6500,8219.277,8007.464,30.6,HFET
302635:6191,34:34,09/12/17 05:30:50,STABLE BEAMS,6500,8216.436,8005.030,30.6,HFET
302635:6191,35:35,09/12/17 05:31:14,STABLE BEAMS,6500,8213.318,8001.843,30.6,HFET
302635:6191,36:36,09/12/17 05:31:37,STABLE BEAMS,6500,8209.685,7999.268,30.6,HFET
302635:6191,37:37,09/12/17 05:32:00,STABLE BEAMS,6500,8207.771,7997.547,30.6,HFET
302635:6191,38:38,09/12/17 05:32:24,STABLE BEAMS,6500,8202.243,7992.055,30.6,HFET
302635:6191,39:39,09/12/17 05:32:47,STABLE BEAMS,6500,8198.050,7873.273,30.5,HFET
302635:6191,40:40,09/12/17 05:33:10,STABLE BEAMS,6500,8195.071,7985.293,30.5,HFET
302635:6191,41:41,09/12/17 05:33:34,STABLE BEAMS,6500,8191.751,7867.435,30.5,HFET
302635:6191,42:42,09/12/17 05:33:57,STABLE BEAMS,6500,8187.983,7966.496,30.5,HFET
302635:6191,43:43,09/12/17 05:34:20,STABLE BEAMS,6500,8184.243,7973.925,30.5,HFET
302635:6191,44:44,09/12/17 05:34:44,STABLE BEAMS,6500,8181.661,7972.594,30.5,HFET
302635:6191,45:45,09/12/17 05:35:07,STABLE BEAMS,6500,8178.992,7969.911,30.5,HFET
302635:6191,46:46,09/12/17 05:35:30,STABLE BEAMS,6500,8173.968,7965.108,30.5,HFET
302635:6191,47:47,09/12/17 05:35:54,STABLE BEAMS,6500,8170.154,7960.838,30.4,HFET
302635:6191,48:48,09/12/17 05:36:17,STABLE BEAMS,6500,8167.074,7957.928,30.4,HFET
302635:6191,49:49,09/12/17 05:36:40,STABLE BEAMS,6500,8162.024,7953.568,30.4,HFET
302635:6191,50:50,09/12/17 05:37:03,STABLE BEAMS,6500,8157.422,7948.163,30.4,HFET
302635:6191,51:51,09/12/17 05:37:27,STABLE BEAMS,6500,8159.268,7950.725,30.4,HFET
302635:6191,52:52,09/12/17 05:37:50,STABLE BEAMS,6500,8148.874,7935.714,30.4,HFET
302635:6191,53:53,09/12/17 05:38:13,STABLE BEAMS,6500,8152.340,7943.714,30.4,HFET
302635:6191,54:54,09/12/17 05:38:37,STABLE BEAMS,6500,8141.820,7934.111,30.3,HFET
302635:6191,55:55,09/12/17 05:39:00,STABLE BEAMS,6500,8142.006,7934.014,30.3,HFET
302635:6191,56:56,09/12/17 05:39:23,STABLE BEAMS,6500,8137.374,7917.009,30.3,HFET
302635:6191,57:57,09/12/17 05:39:47,STABLE BEAMS,6500,8135.423,7927.299,30.3,HFET
302635:6191,58:58,09/12/17 05:40:10,STABLE BEAMS,6500,8131.567,7924.357,30.3,HFET
302635:6191,59:59,09/12/17 05:40:33,STABLE BEAMS,6500,8127.272,7919.167,30.3,HFET
302635:6191,60:60,09/12/17 05:40:57,STABLE BEAMS,6500,8121.685,7913.350,30.3,HFET
302635:6191,61:61,09/12/17 05:41:20,STABLE BEAMS,6500,8120.462,7912.435,30.3,HFET
302635:6191,62:62,09/12/17 05:41:43,STABLE BEAMS,6500,8118.990,7912.677,30.3,HFET
302635:6191,63:63,09/12/17 05:42:07,STABLE BEAMS,6500,8115.364,7909.312,30.2,HFET
302635:6191,64:64,09/12/17 05:42:30,STABLE BEAMS,6500,8111.859,7905.079,30.2,HFET
302635:6191,65:65,09/12/17 05:42:53,STABLE BEAMS,6500,8110.376,7903.138,30.2,HFET
302635:6191,66:66,09/12/17 05:43:16,STABLE BEAMS,6500,8105.759,7899.026,30.2,HFET
302635:6191,67:67,09/12/17 05:43:40,STABLE BEAMS,6500,8101.745,7894.389,30.2,HFET
302635:6191,68:68,09/12/17 05:44:03,STABLE BEAMS,6500,8097.749,7891.835,30.2,HFET
302635:6191,69:69,09/12/17 05:44:26,STABLE BEAMS,6500,8093.896,7887.155,30.2,HFET
302635:6191,70:70,09/12/17 05:44:50,STABLE BEAMS,6500,8090.650,7884.542,30.1,HFET
302635:6191,71:71,09/12/17 05:45:13,STABLE BEAMS,6500,8087.263,7880.830,30.1,HFET
302635:6191,72:72,09/12/17 05:45:36,STABLE BEAMS,6500,8084.820,7766.214,30.1,HFET
302635:6191,73:73,09/12/17 05:46:00,STABLE BEAMS,6500,8081.716,7876.181,30.1,HFET
302635:6191,74:74,09/12/17 05:46:23,STABLE BEAMS,6500,8077.718,7871.871,30.1,HFET
302635:6191,75:75,09/12/17 05:46:46,STABLE BEAMS,6500,8075.141,7869.079,30.1,HFET
302635:6191,76:76,09/12/17 05:47:10,STABLE BEAMS,6500,8072.295,7866.569,30.1,HFET
302635:6191,77:77,09/12/17 05:47:33,STABLE BEAMS,6500,8068.608,7863.186,30.1,HFET
302635:6191,78:78,09/12/17 05:47:56,STABLE BEAMS,6500,8064.729,7747.122,30.1,HFET
302635:6191,79:79,09/12/17 05:48:19,STABLE BEAMS,6500,8061.282,7855.216,30.0,HFET
302635:6191,80:80,09/12/17 05:48:43,STABLE BEAMS,6500,8058.679,7853.823,30.0,HFET
302635:6191,81:81,09/12/17 05:49:06,STABLE BEAMS,6500,8045.981,7841.292,30.0,HFET
302635:6191,82:82,09/12/17 05:49:29,STABLE BEAMS,6500,8041.322,7837.683,30.0,HFET
302635:6191,83:83,09/12/17 05:49:53,STABLE BEAMS,6500,8041.537,7837.118,30.0,HFET
302635:6191,84:84,09/12/17 05:50:16,STABLE BEAMS,6500,8040.940,7836.358,30.0,HFET
302635:6191,85:85,09/12/17 05:50:39,STABLE BEAMS,6500,8038.682,7834.542,30.0,HFET
302635:6191,86:86,09/12/17 05:51:03,STABLE BEAMS,6500,8034.806,7830.998,29.9,HFET
302635:6191,87:87,09/12/17 05:51:26,STABLE BEAMS,6500,8031.347,7826.998,29.9,HFET
302635:6191,88:88,09/12/17 05:51:49,STABLE BEAMS,6500,8029.002,7714.037,29.9,HFET
302635:6191,89:89,09/12/17 05:52:13,STABLE BEAMS,6500,8025.611,7799.514,29.9,HFET
302635:6191,90:90,09/12/17 05:52:36,STABLE BEAMS,6500,8020.728,7817.394,29.9,HFET
302635:6191,91:91,09/12/17 05:52:59,STABLE BEAMS,6500,8018.131,7815.342,29.9,HFET
302635:6191,92:92,09/12/17 05:53:23,STABLE BEAMS,6500,8013.471,7810.858,29.9,HFET
302635:6191,93:93,09/12/17 05:53:46,STABLE BEAMS,6500,8009.286,7806.277,29.8,HFET
302635:6191,94:94,09/12/17 05:54:09,STABLE BEAMS,6500,8007.977,7804.976,29.8,HFET
302635:6191,95:95,09/12/17 05:54:32,STABLE BEAMS,6500,8001.243,7575.319,29.8,HFET
302635:6191,96:96,09/12/17 05:54:56,STABLE BEAMS,6500,7999.477,7685.096,29.8,HFET
302635:6191,97:97,09/12/17 05:55:19,STABLE BEAMS,6500,7997.402,7795.039,29.8,HFET
302635:6191,98:98,09/12/17 05:55:42,STABLE BEAMS,6500,7992.103,7789.525,29.8,HFET
302635:6191,99:99,09/12/17 05:56:06,STABLE BEAMS,6500,7991.879,7790.059,29.8,HFET
302635:6191,100:100,09/12/17 05:56:29,STABLE BEAMS,6500,7986.280,7783.378,29.8,HFET
302635:6191,101:101,09/12/17 05:56:52,STABLE BEAMS,6500,7982.166,7668.450,29.7,HFET
302635:6191,102:102,09/12/17 05:57:16,STABLE BEAMS,6500,7977.733,7775.507,29.7,HFET
302635:6191,103:103,09/12/17 05:57:39,STABLE BEAMS,6500,7974.276,7772.881,29.7,HFET
302635:6191,104:104,09/12/17 05:58:02,STABLE BEAMS,6500,7961.641,7759.795,29.7,HFET
302635:6191,105:105,09/12/17 05:58:26,STABLE BEAMS,6500,7971.906,7770.888,29.7,HFET
302635:6191,106:106,09/12/17 05:58:49,STABLE BEAMS,6500,7964.612,7763.237,29.7,HFET
302635:6191,107:107,09/12/17 05:59:12,STABLE BEAMS,6500,7969.192,7767.506,29.7,HFET
302635:6191,108:108,09/12/17 05:59:35,STABLE BEAMS,6500,7955.460,7754.064,29.6,HFET
302635:6191,109:109,09/12/17 05:59:59,STABLE BEAMS,6500,7955.809,7754.463,29.6,HFET
302635:6191,110:110,09/12/17 06:00:22,STABLE BEAMS,6500,7952.778,7740.192,29.6,HFET
