#Data tag : v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 316217:6677 | 05/13/18 15:05:04 | 264  | 264  | 88.195         | 85.025        |
| 316218:6677 | 05/13/18 16:52:48 | 1008 | 1008 | 241.224        | 234.342       |
| 316219:6677 | 05/13/18 23:33:20 | 283  | 283  | 48.536         | 47.182        |
| 316239:6681 | 05/14/18 05:52:33 | 589  | 589  | 210.013        | 201.883       |
| 316240:6681 | 05/14/18 09:45:29 | 1224 | 1224 | 282.789        | 273.274       |
| 316241:6681 | 05/14/18 17:44:39 | 324  | 324  | 53.101         | 51.083        |
| 316271:6683 | 05/15/18 00:23:55 | 86   | 86   | 31.057         | 28.762        |
| 316361:6688 | 05/15/18 17:14:36 | 189  | 189  | 27.849         | 25.926        |
| 316362:6688 | 05/15/18 18:35:05 | 425  | 425  | 54.297         | 52.631        |
| 316363:6688 | 05/15/18 21:31:00 | 48   | 48   | 4.817          | 4.495         |
| 316377:6690 | 05/16/18 01:56:03 | 21   | 21   | 3.166          | 1.877         |
| 316378:6690 | 05/16/18 02:06:25 | 29   | 29   | 6.082          | 3.262         |
| 316379:6690 | 05/16/18 02:20:14 | 70   | 70   | 14.274         | 8.038         |
| 316380:6690 | 05/16/18 02:51:00 | 1208 | 1208 | 174.669        | 170.741       |
| 316455:6693 | 05/16/18 19:16:26 | 36   | 36   | 9.627          | 9.305         |
| 316457:6693 | 05/16/18 19:38:29 | 1454 | 1454 | 324.996        | 315.849       |
| 316469:6694 | 05/17/18 07:48:26 | 428  | 428  | 149.022        | 144.078       |
| 316470:6694 | 05/17/18 11:54:10 | 476  | 476  | 116.666        | 112.693       |
| 316472:6694 | 05/17/18 15:00:36 | 329  | 329  | 65.841         | 64.028        |
| 316505:6696 | 05/18/18 00:24:12 | 1319 | 1319 | 399.244        | 386.449       |
| 316569:6700 | 05/19/18 02:15:14 | 1888 | 1888 | 480.807        | 467.453       |
| 316590:6702 | 05/19/18 20:55:26 | 510  | 510  | 188.488        | 182.608       |
| 316613:6706 | 05/20/18 07:52:23 | 193  | 193  | 31.471         | 30.819        |
| 316615:6706 | 05/20/18 09:12:46 | 338  | 338  | 48.910         | 48.015        |
| 316666:6709 | 05/20/18 21:51:34 | 981  | 981  | 279.716        | 269.001       |
| 316667:6709 | 05/21/18 04:15:41 | 197  | 197  | 41.951         | 40.544        |
| 316700:6710 | 05/21/18 11:45:23 | 311  | 311  | 117.455        | 110.277       |
| 316701:6710 | 05/21/18 14:12:33 | 479  | 479  | 145.076        | 138.597       |
| 316702:6710 | 05/21/18 17:21:19 | 388  | 388  | 94.683         | 91.827        |
| 316715:6711 | 05/22/18 01:10:33 | 13   | 13   | 3.223          | 2.907         |
| 316716:6711 | 05/22/18 01:30:22 | 181  | 181  | 67.196         | 59.547        |
| 316717:6711 | 05/22/18 02:44:01 | 192  | 192  | 64.141         | 61.000        |
| 316718:6711 | 05/22/18 04:00:36 | 311  | 311  | 90.112         | 86.766        |
| 316719:6711 | 05/22/18 06:17:38 | 136  | 136  | 34.005         | 31.176        |
| 316720:6711 | 05/22/18 07:16:07 | 182  | 182  | 41.467         | 40.093        |
| 316721:6711 | 05/22/18 08:29:43 | 15   | 15   | 3.214          | 3.137         |
| 316722:6711 | 05/22/18 08:45:58 | 751  | 751  | 134.355        | 129.473       |
| 316723:6711 | 05/22/18 13:38:49 | 64   | 64   | 9.448          | 9.248         |
| 316758:6712 | 05/22/18 16:43:00 | 1599 | 1599 | 454.125        | 438.427       |
| 316766:6714 | 05/23/18 05:50:21 | 2148 | 2148 | 557.055        | 539.897       |
| 316876:6719 | 05/24/18 23:17:16 | 610  | 610  | 227.977        | 208.559       |
| 316877:6719 | 05/25/18 03:18:17 | 395  | 395  | 110.801        | 106.823       |
| 316879:6719 | 05/25/18 06:01:35 | 156  | 156  | 37.060         | 35.129        |
| 316928:6724 | 05/25/18 17:30:22 | 149  | 149  | 44.027         | 42.793        |
| 316985:6731 | 05/27/18 20:04:09 | 471  | 471  | 171.688        | 166.367       |
| 316993:6733 | 05/28/18 03:32:51 | 211  | 211  | 76.825         | 71.784        |
| 316994:6733 | 05/28/18 04:58:47 | 14   | 14   | 4.887          | 4.587         |
| 316995:6733 | 05/28/18 05:06:29 | 623  | 623  | 184.669        | 179.192       |
| 317080:6737 | 05/28/18 20:40:32 | 26   | 26   | 7.886          | 7.431         |
| 317087:6738 | 05/28/18 23:14:12 | 741  | 741  | 243.577        | 234.154       |
| 317089:6738 | 05/29/18 04:46:52 | 1003 | 1003 | 212.821        | 204.730       |
| 317182:6741 | 05/30/18 09:15:47 | 1377 | 1377 | 405.682        | 390.603       |
| 317212:6744 | 05/31/18 02:42:18 | 140  | 140  | 52.281         | 49.255        |
| 317213:6744 | 05/31/18 03:40:05 | 375  | 375  | 125.353        | 120.694       |
| 317279:6747 | 05/31/18 17:11:11 | 466  | 466  | 66.614         | 64.332        |
| 317291:6749 | 06/01/18 02:53:28 | 791  | 791  | 272.736        | 263.713       |
| 317292:6749 | 06/01/18 08:08:06 | 330  | 330  | 84.206         | 81.674        |
| 317297:6749 | 06/01/18 11:34:35 | 697  | 697  | 122.303        | 118.835       |
| 317319:6751 | 06/01/18 19:42:34 | 139  | 139  | 54.742         | 51.604        |
| 317320:6751 | 06/01/18 20:37:54 | 1820 | 1820 | 458.599        | 442.954       |
| 317338:6752 | 06/02/18 10:48:26 | 42   | 42   | 15.362         | 13.101        |
| 317339:6752 | 06/02/18 11:06:15 | 163  | 163  | 65.881         | 63.375        |
| 317340:6752 | 06/02/18 12:17:49 | 418  | 418  | 142.187        | 135.222       |
| 317382:6755 | 06/03/18 16:34:21 | 71   | 71   | 26.778         | 23.255        |
| 317383:6755 | 06/03/18 17:05:19 | 58   | 58   | 23.038         | 21.650        |
| 317391:6757 | 06/04/18 03:22:00 | 8    | 8    | 3.368          | 2.627         |
| 317392:6757 | 06/04/18 03:27:45 | 1898 | 1898 | 485.772        | 471.634       |
| 317435:6759 | 06/05/18 00:15:36 | 1397 | 1397 | 360.527        | 347.199       |
| 317438:6759 | 06/05/18 09:20:21 | 307  | 307  | 49.730         | 47.771        |
| 317475:6761 | 06/05/18 18:13:48 | 68   | 68   | 26.041         | 24.777        |
| 317478:6761 | 06/05/18 18:47:22 | 23   | 23   | 8.148          | 7.611         |
| 317484:6761 | 06/05/18 19:51:18 | 523  | 523  | 159.253        | 154.116       |
| 317488:6761 | 06/05/18 23:26:32 | 844  | 844  | 179.419        | 173.891       |
| 317527:6763 | 06/06/18 22:52:13 | 1447 | 1447 | 448.252        | 434.268       |
| 317591:6768 | 06/08/18 07:07:55 | 292  | 292  | 110.950        | 106.962       |
| 317626:6770 | 06/08/18 20:45:31 | 2006 | 2006 | 524.828        | 507.958       |
| 317640:6772 | 06/09/18 13:47:49 | 801  | 801  | 260.914        | 250.899       |
| 317641:6772 | 06/09/18 19:02:10 | 1390 | 1390 | 265.108        | 257.335       |
| 317648:6773 | 06/10/18 06:27:57 | 95   | 95   | 36.027         | 32.582        |
| 317649:6773 | 06/10/18 07:08:13 | 621  | 621  | 192.487        | 185.578       |
| 317650:6773 | 06/10/18 11:10:27 | 1304 | 1304 | 253.526        | 245.570       |
| 317661:6774 | 06/10/18 21:57:00 | 1222 | 1222 | 371.818        | 360.409       |
| 317663:6774 | 06/11/18 06:27:15 | 858  | 858  | 150.682        | 146.907       |
| 317683:6776 | 06/11/18 16:18:33 | 320  | 320  | 117.536        | 113.189       |
| 317696:6778 | 06/12/18 00:00:43 | 645  | 645  | 228.535        | 219.814       |
| 318828:6858 | 06/28/18 06:30:24 | 70   | 70   | 13.258         | 12.823        |
| 318872:6860 | 06/28/18 15:50:31 | 272  | 272  | 91.132         | 87.902        |
| 318874:6860 | 06/28/18 17:39:39 | 320  | 320  | 99.322         | 94.917        |
| 318876:6860 | 06/28/18 19:45:23 | 161  | 161  | 46.587         | 44.263        |
| 318877:6860 | 06/28/18 20:49:22 | 615  | 615  | 155.978        | 151.712       |
| 319077:6874 | 07/01/18 23:27:46 | 41   | 41   | 16.225         | 15.767        |
| 319337:6901 | 07/08/18 02:05:51 | 2193 | 2193 | 229.075        | 224.324       |
| 319347:6904 | 07/08/18 19:53:19 | 651  | 651  | 222.498        | 204.767       |
| 319348:6904 | 07/09/18 00:07:18 | 37   | 37   | 10.609         | 4.835         |
| 319349:6904 | 07/09/18 00:23:35 | 148  | 148  | 40.592         | 39.507        |
| 319449:6909 | 07/09/18 20:59:33 | 698  | 698  | 252.193        | 242.064       |
| 319450:6909 | 07/10/18 01:32:45 | 681  | 681  | 205.757        | 200.470       |
| 319456:6909 | 07/10/18 07:08:41 | 209  | 209  | 52.149         | 50.200        |
| 319459:6909 | 07/10/18 08:32:35 | 78   | 78   | 17.019         | 16.604        |
| 319486:6911 | 07/11/18 09:10:22 | 66   | 66   | 20.492         | 19.793        |
| 319503:6911 | 07/11/18 17:30:46 | 317  | 317  | 92.146         | 88.425        |
| 319524:6912 | 07/11/18 22:27:30 | 1424 | 1424 | 457.681        | 443.999       |
| 319526:6912 | 07/12/18 08:14:19 | 282  | 282  | 69.448         | 67.402        |
| 319528:6912 | 07/12/18 10:11:01 | 259  | 259  | 58.992         | 57.641        |
| 319579:6919 | 07/13/18 04:43:17 | 3128 | 3128 | 792.755        | 769.975       |
